title,description,start_date,end_date,goal_minutes,reward_item_id
Brain Boost 16,Store kid property director place likely whose,2025-09-16,2025-10-19,600,23
Mastery Month 71,Conference build eye and former star trial,2025-05-21,2025-06-25,600,96
Mastery Month 280,Sister training its specific themselves end design husband forward note,2025-09-03,2025-10-08,600,40
Study Marathon 194,Number job determine never tax summer president adult store particularly skill land pass,2025-09-14,2025-10-13,600,14
No Distractions 131,New pattern unit worry go with character box class world,2025-05-20,2025-06-21,600,46
Zen Challenge 59,Information property white door also compare price generation notice blue know,2025-07-17,2025-08-21,600,25
Discipline Drive 205,Middle kitchen ahead American test opportunity camera film and cell,2025-10-22,2025-11-19,600,65
Brain Boost 13,Bit state talk few front tonight miss Mrs,2025-05-28,2025-06-27,600,20
Deep Work Sprint 4,Visit situation phone push throughout site along debate forward practice ball rock,2025-11-03,2025-12-08,600,43
Knowledge Quest 199,Voice artist available within us which traditional forward fly wrong cup let,2025-07-26,2025-08-30,600,55
Learning Rush 204,Out measure thank accept fall size require science,2025-10-29,2025-11-29,600,29
Mind Growth 140,North huge style second like none politics,2025-08-25,2025-09-27,600,4
Zen Challenge 188,Hot family idea do anyone professor short,2025-10-28,2025-11-30,600,39
Knowledge Quest 127,Add industry American determine hope meeting,2025-11-28,2025-12-29,600,45
Zen Challenge 79,Hour these might man black to think price,2025-07-14,2025-08-16,600,26
Zen Challenge 295,Evening someone hit mind run ever claim many imagine tree subject gas,2025-08-08,2025-09-12,600,89
Knowledge Quest 161,Follow population lawyer decision audience speak,2025-11-17,2025-12-20,600,31
Focus Blitz 200,Above high member worker term make network support,2025-06-12,2025-07-10,600,96
Exam Prep Surge 177,Million offer those strong voice really follow item manager enter,2025-07-15,2025-08-13,600,33
Mastery Month 67,So child allow source according time three fear,2025-06-25,2025-07-27,600,55
Deep Work Sprint 226,Yeah traditional expect piece range customer site financial arm example last market politics,2025-09-19,2025-10-24,600,77
Study Marathon 203,Lawyer specific culture collection could quality production star group base century,2025-09-13,2025-10-12,600,63
Mastery Month 191,Face he group sense develop water theory economy,2025-05-24,2025-06-23,600,42
Study Marathon 167,Message recent piece southern more hundred doctor decade lead through,2025-05-26,2025-06-28,600,22
Knowledge Quest 100,Young appear spend many sign style especially six history almost produce,2025-11-30,2025-12-29,600,66
Knowledge Quest 58,Remember against teach color family increase room performance future expert save,2025-11-07,2025-12-11,600,70
Zen Challenge 273,Beyond visit PM hotel recent under role ahead want low cell it,2025-12-12,2026-01-12,600,5
Learning Rush 125,Their environment time growth bank social figure move involve long they,2025-08-08,2025-09-06,600,66
Exam Prep Surge 228,Together assume raise build player message professional skill price lose better clearly us road,2025-05-18,2025-06-19,600,32
Zen Challenge 42,Major that rest style outside end here quickly imagine level throughout run relate,2025-08-15,2025-09-16,600,57
Knowledge Quest 270,Least office less radio special record general,2025-08-25,2025-09-25,600,51
Knowledge Quest 64,Commercial note federal easy Mr building remain watch cover kid,2025-09-21,2025-10-19,600,40
Pomodoro Push 227,Something parent travel detail authority finally,2025-10-20,2025-11-20,600,25
Focus Blitz 113,Executive away that white street carry tough easy nation,2025-07-26,2025-08-27,600,85
No Distractions 192,Husband draw significant sit skin foot start,2025-09-25,2025-10-25,600,10
Exam Prep Surge 55,Many manager nor mission all performance,2025-05-17,2025-06-14,600,85
Study Marathon 102,Measure usually ball yet offer race recognize ground night those,2025-05-31,2025-07-03,600,94
Discipline Drive 275,Nothing him establish reflect water address responsibility,2025-12-05,2026-01-03,600,60
Discipline Drive 156,Shoulder make firm compare direction according fine detail sign national different provide,2025-06-15,2025-07-15,600,42
Deep Work Sprint 83,Loss might represent instead none before yet company,2025-12-02,2026-01-03,600,13
Deep Work Sprint 51,Above fall improve buy this however hospital floor truth night,2025-12-08,2026-01-11,600,94
No Distractions 201,Me account green beat current arm contain,2025-10-16,2025-11-15,600,25
Deep Work Sprint 69,Professional education until center among other must home support space worker blood,2025-06-21,2025-07-25,600,45
Mastery Month 42,Own leader resource include everything reason save total member outside system inside board,2025-06-05,2025-07-09,600,22
Mind Growth 185,Billion Mrs computer unit usually simple act series hand window,2025-08-05,2025-09-06,600,33
Knowledge Quest 150,Establish may thing hotel however unit yeah check defense identify already,2025-06-02,2025-07-04,600,59
Mind Growth 161,Scene nor TV four treat sister education respond go speech teacher whether,2025-08-21,2025-09-20,600,26
Exam Prep Surge 142,Offer help return skin accept community talk radio week power research behavior,2025-09-07,2025-10-12,600,26
Discipline Drive 232,Fish wish three story time city serve,2025-06-03,2025-07-05,600,73
Deep Work Sprint 189,Movie argue bring model wait be energy,2025-08-24,2025-09-26,600,32
Learning Rush 225,Federal arrive beyond former against change one very first,2025-11-09,2025-12-09,600,10
Exam Prep Surge 112,Exist pick contain close institution couple that,2025-06-11,2025-07-14,600,31
No Distractions 129,Green itself eye sister management amount,2025-08-13,2025-09-14,600,28
Discipline Drive 260,Assume senior box or either great source college place organization country,2025-08-24,2025-09-26,600,75
Deep Work Sprint 188,Establish effect whether appear move among ok drive call,2025-07-28,2025-08-30,600,29
Learning Rush 187,Somebody almost instead example condition body deep protect heart service high,2025-11-27,2025-12-29,600,100
Learning Rush 276,Bring pattern professional a impact understand this,2025-11-15,2025-12-16,600,13
Mind Growth 158,Share talk popular benefit keep piece speech political include paper again,2025-10-12,2025-11-15,600,60
No Distractions 239,Enter suggest life country place job education picture,2025-08-21,2025-09-21,600,73
Mind Growth 292,Impact consumer follow guess use paper else eat,2025-08-06,2025-09-10,600,34
Mastery Month 32,Area company race five your population record real hotel spend,2025-08-07,2025-09-08,600,17
Mastery Month 113,Truth red story rule easy care life listen seek commercial bring,2025-11-05,2025-12-07,600,97
Mind Growth 199,Stuff behind like glass nor establish subject,2025-10-31,2025-12-04,600,73
Discipline Drive 102,Key voice lose area message environmental billion lot general step early,2025-12-13,2026-01-13,600,96
Zen Challenge 70,Class arm course improve artist for physical rich trade,2025-05-22,2025-06-24,600,24
No Distractions 15,Son whose sign civil policy contain course realize,2025-08-14,2025-09-15,600,95
Mastery Month 7,Century PM kid exist talk little party teach human sign,2025-12-07,2026-01-06,600,47
Focus Blitz 72,Create admit likely her five another,2025-11-20,2025-12-24,600,93
