host_id,start_time,end_time,topic_id,technique_type,short_break_min,long_break_min,session_type
29,2025-11-01 08:57:31.368266,2025-11-01 09:30:31.368266,82,custom,5,25,solo
20,2025-11-02 19:34:31.368275,2025-11-02 20:49:31.368275,24,custom,15,25,group
59,2025-10-25 20:09:31.368287,2025-10-25 21:17:31.368287,2,custom,15,20,group
56,2025-10-26 11:29:31.368297,2025-10-26 13:04:31.368297,17,custom,15,20,solo
60,2025-10-25 03:35:31.368307,2025-10-25 05:00:31.368307,69,custom,5,15,group
6,2025-10-27 05:00:31.368316,2025-10-27 05:46:31.368316,55,flowtime,10,25,group
43,2025-11-02 21:31:31.368325,2025-11-02 22:58:31.368325,52,pomodoro,5,20,solo
50,2025-10-25 09:04:31.368333,2025-10-25 10:00:31.368333,65,flowtime,15,25,group
37,2025-11-10 17:37:31.368343,2025-11-10 19:21:31.368343,86,custom,10,15,solo
78,2025-10-19 11:52:31.368351,2025-10-19 12:50:31.368351,12,flowtime,10,20,group
8,2025-10-29 05:44:31.368363,2025-10-29 07:28:31.368363,29,pomodoro,10,25,group
63,2025-10-23 06:48:31.368373,2025-10-23 07:36:31.368373,67,flowtime,10,15,solo
61,2025-10-27 04:39:31.368381,2025-10-27 05:41:31.368381,52,flowtime,5,20,group
21,2025-10-16 23:54:31.368390,2025-10-17 01:54:31.368390,39,custom,10,25,solo
53,2025-10-19 01:55:31.368399,2025-10-19 02:43:31.368399,38,custom,5,25,solo
1,2025-10-30 14:28:31.368408,2025-10-30 16:23:31.368408,69,flowtime,5,15,solo
99,2025-11-02 09:46:31.368417,2025-11-02 10:57:31.368417,87,flowtime,10,20,solo
99,2025-11-06 01:43:31.368426,2025-11-06 02:51:31.368426,50,custom,5,25,group
70,2025-11-02 07:40:31.368435,2025-11-02 08:56:31.368435,34,custom,10,20,solo
44,2025-10-17 03:28:31.368444,2025-10-17 05:01:31.368444,6,pomodoro,10,25,group
62,2025-10-31 07:46:31.368453,2025-10-31 08:28:31.368453,40,pomodoro,15,25,group
22,2025-10-31 18:10:31.368462,2025-10-31 18:32:31.368462,30,flowtime,15,20,group
74,2025-11-03 01:06:31.368471,2025-11-03 02:47:31.368471,72,custom,15,20,solo
18,2025-11-09 05:28:31.368480,2025-11-09 07:05:31.368480,55,flowtime,5,15,solo
84,2025-10-26 01:20:31.368489,2025-10-26 03:16:31.368489,12,custom,5,25,group
92,2025-10-23 23:10:31.368498,2025-10-24 00:50:31.368498,4,custom,15,25,group
87,2025-10-17 19:46:31.368507,2025-10-17 21:09:31.368507,26,pomodoro,5,15,group
13,2025-11-05 10:06:31.368516,2025-11-05 11:39:31.368516,100,pomodoro,10,20,group
17,2025-10-19 09:20:31.368524,2025-10-19 09:54:31.368524,96,custom,5,20,solo
12,2025-10-18 16:33:31.368533,2025-10-18 17:41:31.368533,15,flowtime,10,25,group
25,2025-11-06 22:43:31.368542,2025-11-06 23:40:31.368542,56,flowtime,10,15,group
25,2025-11-06 07:25:31.368551,2025-11-06 08:24:31.368551,63,pomodoro,5,20,solo
77,2025-10-27 20:45:31.368560,2025-10-27 21:29:31.368560,52,pomodoro,15,25,solo
21,2025-11-11 16:54:31.368572,2025-11-11 17:29:31.368572,87,flowtime,15,25,solo
96,2025-11-03 14:54:31.368582,2025-11-03 16:30:31.368582,25,flowtime,10,25,group
81,2025-11-04 18:20:31.368591,2025-11-04 19:31:31.368591,25,custom,10,15,solo
8,2025-11-06 11:08:31.368600,2025-11-06 13:00:31.368600,83,flowtime,15,25,group
47,2025-11-14 05:08:31.368609,2025-11-14 06:37:31.368609,43,flowtime,15,15,solo
48,2025-11-14 02:52:31.368617,2025-11-14 04:48:31.368617,92,custom,15,20,solo
16,2025-10-16 08:30:31.368626,2025-10-16 09:38:31.368626,64,custom,10,15,group
67,2025-11-14 16:02:31.368634,2025-11-14 16:26:31.368634,35,flowtime,10,20,solo
77,2025-10-19 07:12:31.368643,2025-10-19 08:08:31.368643,55,flowtime,15,20,solo
64,2025-11-07 15:33:31.368652,2025-11-07 17:22:31.368652,19,pomodoro,5,15,group
79,2025-11-05 11:13:31.368661,2025-11-05 13:13:31.368661,45,flowtime,15,25,solo
67,2025-11-06 11:28:31.368672,2025-11-06 12:50:31.368672,53,custom,10,25,group
85,2025-11-08 08:23:31.368681,2025-11-08 10:10:31.368681,38,pomodoro,10,25,solo
36,2025-11-03 16:47:31.368690,2025-11-03 17:03:31.368690,83,pomodoro,10,25,group
86,2025-10-29 04:24:31.368699,2025-10-29 06:23:31.368699,17,flowtime,10,25,group
56,2025-10-17 12:26:31.368708,2025-10-17 14:02:31.368708,57,custom,5,25,solo
9,2025-11-10 08:30:31.368717,2025-11-10 09:14:31.368717,16,pomodoro,5,15,solo
6,2025-11-14 16:51:31.368727,2025-11-14 18:16:31.368727,60,custom,5,25,solo
24,2025-10-20 21:19:31.368737,2025-10-20 23:06:31.368737,43,pomodoro,5,25,solo
56,2025-10-24 08:34:31.368746,2025-10-24 08:58:31.368746,8,flowtime,5,15,group
78,2025-10-24 00:30:31.368755,2025-10-24 02:29:31.368755,45,custom,15,15,group
58,2025-10-23 19:59:31.368763,2025-10-23 21:53:31.368763,10,custom,15,15,solo
77,2025-11-13 00:03:31.368773,2025-11-13 00:33:31.368773,1,flowtime,5,20,solo
25,2025-11-07 11:16:31.368781,2025-11-07 12:33:31.368781,1,pomodoro,15,25,solo
